Name,Number,Position,Height,Weight,Academic Year,Hometown,Highschool,Year
Jake Ratzlaff,25,ILB,"6'2""",206 lbs,Fr.,"Rosemount, Minn.",Rosemount,2021
Isaac Smith,25,WR,"6'2""",199 lbs,R-Fr.,"Memphis, Tenn.",St. Georges,2021
Travian Blaylock,26,S,"5'11""",205 lbs,Jr.,"Humble, Texas",Atascocita,2021
Haakon Anderson,27,WR,"6'1""",209 lbs,R-Fr.,"Verona, Wis.",Verona,2021
Al Ashford III,27,CB,"6'0""",175 lbs,Fr.,"Denver, Colo.",Cherry Creek,2021
Mike Gregoire,28,WR,"5'10""",186 lbs,Jr.,"Green Bay, Wis.",Notre Dame Academy,2021
Gavin Meyers,28,K/P,"6'1""",190 lbs,R-Fr.,"Oshkosh, Wis.",Lourdes Academy,2021
Brady Schipper,29,RB,"5'11""",205 lbs,Jr.,"Stoughton, Wis.",Stoughton,2021
Nate Van Zelst,29,K,"5'11""",189 lbs,Fr.,"Glenview, Ill.",Loyola Academy,2021
Tyler Mais,30,S,"6'1""",201 lbs,Sr.,"Waunakee, Wis.",Waunakee,2021
Alex Moeller,30,WR,"5'11""",166 lbs,Fr.,"Arlington Heights, Ill.",Prospect,2021
Jordan DiBenedetto,31,WR,"6'0""",193 lbs,Jr.,"Stoughton, Wis.",Stoughton,2021
Amaun Williams,31,CB,"5'10""",182 lbs,R-Fr.,"Milwaukee, Wis.",Riverside,2021
Julius Davis,32,RB,"5'10""",201 lbs,So.,"Menomonee Falls, Wis.",Menomonee Falls,2021
Marty Strey,32,OLB,"6'2""",234 lbs,Jr.,"Sun Prairie, Wis.",Sun Prairie,2021
Jackson Acker,34,RB,"6'1""",229 lbs,Fr.,"Madison, Wis.",Verona,2021
Ross Gengler,34,ILB,"6'2""",225 lbs,R-Fr.,"Delavan, Wis.",Delavan-Darien,2021
Jake Chaney,36,ILB,"5'11""",222 lbs,Fr.,"Cape Coral, Fla.",Lehigh,2021
Riley Nowakowski,37,OLB,"6'1""",244 lbs,R-Fr.,"Milwaukee, Wis.",Marquette University HS,2021
Andy Vujnovich,38,P,"6'3""",230 lbs,Sr.,"Columbus, Wis.",Columbus,2021
Tatum Grass,39,ILB,"6'2""",231 lbs,So.,"Holmen, Wis.",Holmen,2021
Noah Burks,41,OLB,"6'2""",245 lbs,Sr.,"Carmel, Ind.",Carmel,2021
Grover Bortolotti,43,RB,"5'9""",188 lbs,Fr.,"Whitefish Bay, Wis.",Whitefish Bay,2021
John Chenal,44,FB,"6'2""",256 lbs,Sr.,"Grantsburg, Wis.",Grantsburg,2021
Garrison Solliday,45,ILB,"5'11""",230 lbs,Fr.,"Eagan, Minn.",St. Thomas Academy,2021
Ayo Adebogun,46,OLB,"6'2""",214 lbs,Fr.,"Mequon, Wis.",Homestead,2021
Peter Bowden,47,LS,"6'2""",230 lbs,So.,"San Diego, Calif.",Francis Parker,2021
