Name,Number,Position,Height,Weight,Academic Year,Hometown,Highschool,Year
Alex Moeller,30,WR,"5'11""",175 lbs,R-Jr.,"Arlington Heights, Ill.",Prospect,2024
Angel Toombs,30,OLB,"6'5""",243 lbs,R-Fr.,"Milwaukee, Wis.",Rufus King,2024
Gideon Ituka,31,RB,"5'9""",232 lbs,Fr.,"Gaithersburg, Md.",Gaithersburg,2024
Jackson Acker,34,RB,"6'1""",245 lbs,R-Jr.,"Madison, Wis.",Verona,2024
Charlie Jarvis,34,S,"6'1""",207 lbs,R-So.,"Hartland, Wis.",Catholic Memorial,2024
Riley Nowakowski,37,TE,"6'1""",243 lbs,R-Sr.,"Milwaukee, Wis.",Marquette University HS,2024
Tucker Ashcraft,38,TE,"6'5""",255 lbs,So.,"Seattle, Wash.",O'Dea,2024
Mason Lane,38,S,"6'1""",205 lbs,Fr.,"Lodi, Wis.",Lodi,2024
JT Seagreaves,41,TE,"6'6""",254 lbs,R-So.,"Monroe, Wis.",Monroe,2024
Tyler Jansey,42,ILB,"6'0""",235 lbs,R-Fr.,"Batavia, Ill.",Batavia,2024
Grover Bortolotti,43,RB,"5'9""",192 lbs,R-Jr.,"Whitefish Bay, Wis.",Whitefish Bay,2024
Jackson Trudgeon,43,S,"6'1""",205 lbs,R-So.,"Fitchburg, Wis.",Madison Edgewood,2024
Zach Gloudeman,44,RB,"6'2""",230 lbs,R-So.,"Spring Green, Wis.",River Valley,2024
Garrison Solliday,45,LB,"5'11""",230 lbs,R-Jr.,"Eagan, Minn.",St. Thomas Academy,2024
Tamer Dalloul,46,OLB,"6'4""",226 lbs,Fr.,"Lincolnshire, Ill.",Stevenson,2024
Evan Van Dyn Hoven,47,LB,"6'3""",230 lbs,R-Fr.,"Menasha, Wis.",Menasha,2024
Atticus Bertrams,49,P,"6'3""",225 lbs,So.,"Sydney, Australia",Newington College,2024
Ryan Cory,50,OL,"6'4""",295 lbs,Fr.,"Gibsonia, Pa.",Pine-Richard,2024
Anelu Lafaele,51,OLB,"6'2""",237 lbs,Fr.,"Kalihi, Hawaii",Farrington,2024
Deed Capper,54,LS,"6'2""",227 lbs,Fr.,"Mequon, Wis.",Homestead,2024
Drew Braam,55,LB,"6'1""",213 lbs,Fr.,"Oak Creek, Wis.",Oak Creek,2024
Kevin Heywood,55,OL,"6'8""",325 lbs,Fr.,"Limerick, Pa.",Pope John Paul II,2024
Joe Brunner,56,OL,"6'5""",313 lbs,R-So.,"Whitefish Bay, Wis.",Whitefish Bay,2024
Cody Raymond,56,"Outside Linebacker
															                            

																                            OLB","6'4""",230 lbs,Fr.,"Shelby, Mich.",Eisenhower,2024
Jake Renfro,57,OL,"6'4""",302 lbs,R-Sr.,"Mokena, Ill.",Providence Catholic,2024
Manny Mullens,58,OL,"6'2""",290 lbs,R-Jr.,"Columbus, Ohio",Harvest Preparatory,2024
Aaron Witt,59,OLB,"6'6""",247 lbs,R-Jr.,"Winona, Minn.",Winona,2024
Joe Huber,60,OL,"6'5""",310 lbs,R-Sr.,"Dublin, Ohio",Jerome,2024
Hank Weber,60,DL,"6'3""",263 lbs,Fr.,"Franklin, Tenn.",Brentwood Academy,2024
Joey Okla,61,OL,"6'2""",314 lbs,R-So.,"Hartford, Wis.",Arrowhead,2024
Evan Brown,64,OL,"6'2""",287 lbs,R-Fr.,"Tallahassee, Fla.",Maclay,2024
Duncan McKinley,64,LS,"6'2""",222 lbs,R-Sr.,"Eau Claire, Wis.",Memorial,2024
James Durand,65,OL,"6'5""",305 lbs,R-Fr.,"Gilbert, Ariz.",Basha,2024
Leyton Nelson,66,OL,"6'6""",311 lbs,Jr.,"Orlando, Fla.",Boone,2024
JP Benzschawel,67,OL,"6'6""",312 lbs,R-Jr.,"Grafton, Wis.",Grafton,2024
Ben Barten,68,DL,"6'5""",308 lbs,R-Sr.,"Stratford, Wis.",Stratford,2024
Barrett Nelson,70,OL,"6'6""",302 lbs,R-So.,"Stoughton, Wis.",Stoughton,2024
Riley Mahlman,71,OL,"6'8""",308 lbs,R-Jr.,"Lakeville, Minn.",South,2024
Kerry Kodanko,73,OL,"6'2""",308 lbs,R-Sr.,"Green Bay, Wis.",West DePere,2024
Derek Jensen,74,OL,"6'6""",314 lbs,Fr.,"Hartland, Wis.",Arrowhead,2024
Emerson Mandell,75,OL,"6'5""",310 lbs,Fr.,"Moundsview, Minn.",Irondale,2024
John Clifford,76,OL,"6'5""",305 lbs,R-So.,"Watertown, Wis.",Watertown,2024
Dillan Johnson,76,DL,"6'2""",293 lbs,Fr.,"Plainfield, Ill.",Joliet Catholic,2024
Peyton Lange,77,OL,"6'9""",355 lbs,R-Fr.,"Minneapolis, Minn.",Minnehaha Academy,2024
Will McDonald,77,DL,"6'4""",275 lbs,R-Fr.,"Houlton, Wis.",Hudson,2024
Colin Cubberly,78,OL,"6'6""",318 lbs,Fr.,"Lagrangeville, N.Y.",Arlington,2024
Jack Nelson,79,OL,"6'7""",316 lbs,R-Sr.,"Stoughton, Wis.",Stoughton,2024
Chris Brooks Jr.,84,WR,"6'2""",218 lbs,R-So.,"St. Louis, Mo.",St. Louis University School,2024
Grant Stec,85,TE,"6'6""",255 lbs,Fr.,"Sleepy Hollow, Ill.",Henry Jacobs,2024
Nolan Vils,85,DL,"6'2""",287 lbs,R-Fr.,"Prairie Du Sac, Wis.",Sauk Prairie,2024
Jackson McGohan,87,TE,"6'3""",225 lbs,So.,"Miamisburg, Ohio",Miamisburg,2024
Rob Booker II,89,TE,"6'5""",240 lbs,Fr.,"Waunakee, Wis.",Waunakee,2024
James Thompson Jr.,90,DL,"6'5""",295 lbs,R-Sr.,"Cincinnati, Ohio",Roger Bacon,2024
Nathanial Vakos,90,K,"6'1""",205 lbs,Jr.,"Avon, Ohio",Avon,2024
Jamel Howard,91,DL,"6'2""",310 lbs,R-Fr.,"Chicago, Ill.",Marist,2024
Sean West,91,K,"6'2""",186 lbs,Fr.,"Mequon, Wis.",Homestead,2024
Curt Neal,92,DL,"6'0""",290 lbs,R-So.,"Cornelius, N.C.",William A. Hough,2024
Ernest Willor Jr.,93,DL,"6'4""",267 lbs,Fr.,"Baltimore, Md.",Concordia Prep,2024
Elijah Hills,94,DL,"6'3""",282 lbs,Sr.,"Rockaway, N.J.",Delbarton School,2024
Brandon Lane,95,DL,"6'3""",312 lbs,R-Jr.,"Kansas City, Mo.",St. Michael The Archangel H.S.,2024
Cade McDonald,96,DL,"6'6""",285 lbs,R-Sr.,"Houlton, Wis.",Hudson,2024
Gavin Lahm,97,K,"6'0""",213 lbs,Jr.,"Kaukauna, Wis.",Kaukauna,2024
Gianni Smith,98,K,"6'1""",205 lbs,Sr.,"Oak Park, Calif.",Oak Park,2024
Cayson Pfeiffer,99,LS,"6'0""",205 lbs,6th,"Columbus, Ohio",Dublin Scioto,2024
